Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,0.1uF,
C10,0805,1,47pF,
"C11, C12, C13, C14, C15, C9",CP_EIA-3528-15_AVX-H,6,220uF,
C16,0805,1,1uF,
C17,0805,1,0.1uF,
C18,0805,1,1uF,
C19,0805,1,0.1uF,
C2,0805,1,10uF,
C20,0805,1,100nF,
C21,CP_EIA-3528-15_AVX-H,1,47uF,
C22,0805,1,0.1uF,
C23,0805,1,10nF,
C24,0805,1,0.1uF,
C25,0805,1,10nF,
C3,0805,1,27pF,
C4,0805,1,27pF,
C5,0805,1,47pF,
C6,0805,1,100nF,
C7,0805,1,100nF,
C8,0805,1,100nF,
J1,PinHeader_1x04_P2.54mm_Vertical,1,S-Video,
J2,DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm,1,RGB,
L1,0805,1,4.7uH,
L2,0805,1,4.7uH,
Q1,SOT-23,1,BC817,
R1,0805,1,4K7,
R10,0805,1,4K7,
R11,0805,1,220R,
R12,0805,1,2K2,
R13,0805,1,3K3,
R14,0805,1,75R,
R15,0805,1,75R,
R16,0805,1,75R,
R17,0805,1,75R,
R18,0805,1,75R,
R2,0805,1,10M,
R3,0805,1,4K7,
R4,0805,1,4K7,
R5,0805,1,4K7,
R6,0805,1,4K7,
R7,0805,1,2K2,
R8,0805,1,1K,
R9,0805,1,100R,
"RV1, RV2, RV3",Potentiometer_Bourns_3314G_Vertical,3,500R,
U1,SO-16_3.9x9.9mm_P1.27mm,1,74HC138,74HC138
U2,SO-14_3.9x8.65mm_P1.27mm,1,74HC32,74HC32
U3,LQFP-128_28x28mm_P0.8mm,1,V9990,V9990
"U4, U5",SOJ-40_400mil,2,KM428C256,
U6,SOP-24_7.5x15.4mm_P1.27mm,1,CXA2075M,
X1,Oscillator_DIP-8,1,14.31818MHz ,CE3291-14.318180
Y1,Crystal_HC49-U_Vertical,1,21.47727Mhz,
